Sample_ID,SiO2,MgO,FeO
SR-000,45.993428306022466,13.1872579355406,10.079550849571895
SR-001,45.02650170068794,14.568753996959465,10.277742093115323
SR-002,46.90143768226199,13.896710410568435,10.351381853361438
SR-003,48.95515062190696,,10.131385963826755
SR-004,45.743814462674536,14.541188503264177,9.236783869754001
SR-005,46.04687760125316,14.985299816313276,9.426399719917123
SR-006,49.97660744919661,14.895542921531886,
SR-007,48.656081579517945,13.71214518102466,9.89128481750431
SR-008,46.48529365237252,14.663432929773757,10.108994477915772
SR-009,48.81239281444466,13.400596958455969,11.545126463882896
SR-010,47.103467644678105,12.239841726829717,10.075098490878773
SR-011,47.40187382619282,14.012736594073656,10.327595437471016
SR-012,49.12028817949571,13.412114938142743,10.06497206379703
SR-013,45.11283345007834,15.0,10.314412280645065
SR-014,45.79258857739818,14.490603604259606,9.76310651994001
SR-015,48.4208794869726,13.933195547544573,10.037396661549373
SR-016,47.822822607816,13.836159187168356,9.331305131949614
SR-017,50.78000981670569,11.519318035698191,9.303589714959426
SR-018,48.63849730350303,14.68742389311381,9.393468495735146
SR-019,47.93296835490518,14.578745690724702,9.747640234202644
SR-020,,12.19427050766338,10.258138923491837
SR-021,50.91208376266329,11.725779040139944,8.475159027437796
SR-022,51.801723076042514,13.682105080519094,9.662957787583005
SR-023,49.120200597270056,11.950068698299697,8.78162200467817
SR-024,51.18396182367691,13.113272364329507,
SR-025,52.79760275517731,14.071414523739055,9.764715022965952
SR-026,50.57680072394327,11.778743385292001,9.474459937153405
SR-027,53.93321421850953,10.860416582993418,8.567806189184394
SR-028,52.28357110501087,12.186222923083292,8.91399103486893
SR-029,53.20449128829223,11.214727830566908,9.519349745638115
SR-030,52.8874958664503,10.294338222353748,8.846067097496402
SR-031,58.09849576295726,9.829164669623122,8.798379718495262
SR-032,54.66997524749383,10.069706187276363,9.055788395202525
SR-033,52.8845781420882,12.3197611737999,8.88574201198827
SR-034,56.948120127236685,9.301327714871523,9.877160031938995
SR-035,53.16437330611856,13.284185082570115,9.500522180547149
SR-036,56.326818099100414,9.686019468023597,7.854746896761156
SR-037,52.29278096436166,11.76082609804966,9.363949060948547
SR-038,53.858779417354654,12.270005450427808,8.783228825880341
SR-039,57.21190428992007,8.884373967598016,9.205026238406106
SR-040,58.598145281202946,9.78820182212295,8.243925102663356
SR-041,57.76697898662236,11.200351159633481,8.665933880604314
SR-042,57.49597616249625,8.394126300440272,9.002896023240604
SR-043,57.42809563912445,10.213395602882525,9.190068033172615
SR-044,55.376289352598484,11.109367053209029,8.362222861212263
SR-045,57.196675219574225,10.90315278394762,8.613081860122103
SR-046,58.018116397474365,8.555802730132172,8.460715704672086
SR-047,61.35666869486207,7.136875908970895,8.037668514226937
SR-048,60.23269112459147,9.42886511578031,9.359458007681402
SR-049,56.32240453775938,10.768022858129434,9.07025040170454
SR-050,60.79968309030475,8.930619614223977,7.789589713802003
SR-051,59.68438089371282,9.472695852011848,8.990492884156104
SR-052,59.40373175696384,8.55848257563597,9.620704922809932
SR-053,62.2839586382878,8.318670241845883,8.787836766446793
SR-054,63.42563540862826,7.9228183098473774,7.397751476160167
SR-055,63.52922690489907,6.873957820014004,7.904960273076968
SR-056,60.29126192325169,10.749269741844081,9.104329382268142
SR-057,61.654302521024846,8.81211191250185,7.980735015088125
SR-058,63.238284438564705,6.51338272737147,8.398081270216643
SR-059,64.8298781330326,7.724602355420792,8.40432921341141
SR-060,62.22346970612761,7.135930447321636,7.8141877935981965
SR-061,63.11353053152085,8.541672391134112,8.158884268817014
SR-062,61.57520883986673,9.528512043060712,6.72184544597879
SR-063,61.698495842747754,7.499919344549188,7.81795659505808
SR-064,66.01899103872779,7.555779713753205,7.771816820430641
SR-065,67.40944975411135,,7.13516343360644
SR-066,64.85597975683933,7.879668257258757,8.830607676281884
SR-067,67.31009609881436,7.972754543128204,7.0539197011382475
SR-068,66.32933265615588,6.222878821534775,7.64704449103592
SR-069,64.61885139988065,6.398723275690249,8.103485148654979
SR-070,66.93491242313804,5.336520601119259,8.527145402219253
SR-071,,4.34769985580118,6.822946459601935
SR-072,66.74652973996191,6.224286394601129,8.406928902081287
SR-073,70.25049943284014,5.240952201680586,7.480066587225779
SR-074,62.18475221606293,8.402789912904847,
SR-075,69.37107773602317,6.0787521546267556,7.793943963529318
SR-076,68.20439716677937,5.731243025166157,7.7790901311087985
SR-077,,,7.426359698180442
SR-078,68.81988518943464,5.207389090988186,7.652912523551546
SR-079,64.96425611019215,9.734466722512757,7.810917590549904
SR-080,68.80308046674922,6.104435161065316,7.676450625950701
SR-081,70.25967968847804,,7.805097368412718
SR-082,72.80427293796788,2.807398326751735,8.012581114275887
SR-083,69.11497471496786,5.836482529256042,
SR-084,68.83755824875908,5.241513915170516,8.682760862452225
SR-085,69.75406167040667,5.812375825929424,6.548549933198082
SR-086,72.8914102960102,4.316673506169461,7.134966422881187
SR-087,72.02113858295573,4.118715654160835,
SR-088,70.60714625913259,3.9103477782785574,7.579781307954256
SR-089,72.99623183592368,2.286660040944662,6.889027056497334
SR-090,72.46688237142337,3.566732099363632,7.1492506376790255
SR-091,,4.051179771594131,6.802194776988249
SR-092,,4.6242210677169355,7.057849452424577
SR-093,72.52649388862265,2.7436636658389504,7.6721516596482475
SR-094,72.70063217858417,4.092928054417512,7.408444525124105
SR-095,70.86084889161455,5.040977823083016,7.067460313208218
SR-096,74.68314964503824,2.24288270578357,7.481484973212802
SR-097,74.91604993829917,3.187305130625861,7.162044766608388
SR-098,74.70719661025463,3.1753300743441493,7.435711398394018
SR-099,74.5308257332497,,7.361731847636836
