Date,d18O
2010-01-01,-9.743199946715142
2010-01-02,-10.231947268994434
2010-01-03,-10.516162296627929
2010-01-04,-11.332962372902006
2010-01-05,-9.87624663556304
2010-01-06,-8.942061993142463
2010-01-07,-8.963307634639708
2010-01-08,-9.988295797928435
2010-01-09,-10.026735222067689
2010-01-10,-9.45720477683711
2010-01-11,-10.156838600373746
2010-01-12,-9.472905214866671
2010-01-13,-9.207027632868664
2010-01-14,-8.942989072944881
2010-01-15,-9.573051887851824
2010-01-16,-9.591472048841737
2010-01-17,-9.89543781643601
2010-01-18,-9.836858895600896
2010-01-19,-9.503800979732436
2010-01-20,-9.174201938221369
2010-01-21,-8.868605548611008
2010-01-22,-9.694700132791997
2010-01-23,-8.514688348625473
2010-01-24,-9.364735081612633
2010-01-25,-9.208225676279216
2010-01-26,-9.539754076916454
2010-01-27,-10.347121325868514
2010-01-28,-8.662087423003692
2010-01-29,-8.7050622063188
2010-01-30,-9.183796138049704
2010-01-31,-8.97956835803309
2010-02-01,-8.725317515272927
2010-02-02,-9.735084321745006
2010-02-03,-9.18917158519192
2010-02-04,-8.498664974697245
2010-02-05,-9.49442084542172
2010-02-06,-8.692311178298489
2010-02-07,-9.489538589141738
2010-02-08,-8.550542008996151
2010-02-09,-8.774446960615645
2010-02-10,-9.537429280979268
2010-02-11,-8.12110670321999
2010-02-12,-9.044768838467748
2010-02-13,-9.056987295197958
2010-02-14,-8.526363440694217
2010-02-15,-8.027522724154531
2010-02-16,-9.085359405541567
2010-02-17,-8.522636624188536
2010-02-18,-8.315524401568831
2010-02-19,-8.160270967303601
2010-02-20,-8.395935967366693
2010-02-21,-8.645452201023826
2010-02-22,-8.853970065490925
2010-02-23,-8.375801264653717
2010-02-24,-8.934108844036222
2010-02-25,-9.83835475759018
2010-02-26,-8.139519862295387
2010-02-27,-7.886438545832653
2010-02-28,-9.500970078555225
2010-03-01,-8.805964393392008
2010-03-02,-7.973619822913618
2010-03-03,-7.237055160581735
2010-03-04,-8.238525160445034
2010-03-05,-8.596560775890573
2010-03-06,-8.308167830958645
2010-03-07,-7.513969407319856
2010-03-08,-8.509609945366671
2010-03-09,-8.571980704031805
2010-03-10,-8.400054127470531
2010-03-11,-8.622189211693449
2010-03-12,-8.07158105976676
2010-03-13,-7.308520798859096
2010-03-14,-7.947820269615722
2010-03-15,-8.224596006137977
2010-03-16,-8.233946946769619
2010-03-17,-8.859824553233333
2010-03-18,-7.6274307797977485
2010-03-19,-8.099232204571813
2010-03-20,-8.142455484965328
2010-03-21,-6.448140047114241
2010-03-22,-7.888374286273733
2010-03-23,-8.407283836049526
2010-03-24,-8.238787223520756
2010-03-25,-7.446189939467479
2010-03-26,-7.959167749147579
2010-03-27,-8.730919259754199
2010-03-28,-7.548731465692279
2010-03-29,-8.339573000614807
2010-03-30,-7.066597298956943
2010-03-31,-7.461558255006725
2010-04-01,-8.224170700444228
2010-04-02,-7.359520717831007
2010-04-03,-7.966212113143887
2010-04-04,-7.5744557913431
2010-04-05,-7.7597705635830465
2010-04-06,-8.42720084286424
2010-04-07,-8.328273616515945
2010-04-08,-7.49458438566196
2010-04-09,-8.180607556401483
2010-04-10,-8.219287138063548
2010-04-11,-8.4998538768335
2010-04-12,-7.81590797052008
2010-04-13,-7.002443592934128
2010-04-14,-8.574052916935404
2010-04-15,-8.035337049489756
2010-04-16,
2010-04-17,-8.103319195389513
2010-04-18,-7.846199255601671
2010-04-19,-8.613038984005215
2010-04-20,-7.877713351280499
2010-04-21,-8.19602835962238
2010-04-22,-7.620742070246895
